City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
182,Grand Gaube,MU,2022-12-10 04:25:25,-20.0064,57.6608,77.4,79,20,7.0
183,Virginia Beach,US,2022-12-10 04:23:03,36.8529,-75.978,48.02,65,75,10.36
184,Narsaq,GL,2022-12-10 04:25:25,60.9167,-46.05,17.82,68,0,8.3
185,Guerrero Negro,MX,2022-12-10 04:25:26,27.9769,-114.0611,59.09,69,0,11.32
186,Puerto Ayora,EC,2022-12-10 04:26:27,-0.7393,-90.3518,69.55,95,70,1.01
187,Sao Filipe,CV,2022-12-10 04:19:40,14.8961,-24.4956,75.72,77,1,6.26
188,Vostok,RU,2022-12-10 04:26:27,46.4856,135.8833,13.15,84,100,8.39
189,Bardiyah,LY,2022-12-10 04:26:28,31.7561,25.0865,61.43,85,0,6.4
190,Poum,NC,2022-12-10 04:26:29,-20.2333,164.0167,82.47,72,3,8.75
191,Marsassoum,SN,2022-12-10 04:26:29,12.8275,-15.9806,71.69,89,0,3.29
192,La Ronge,CA,2022-12-10 04:26:30,55.1001,-105.2842,8.85,78,100,3.44
193,Maceio,BR,2022-12-10 04:26:30,-9.6658,-35.7353,76.44,94,0,6.91
194,Medea,DZ,2022-12-10 04:26:31,36.2642,2.7539,51.12,77,85,13.06
195,Shalyhyne,UA,2022-12-10 04:26:32,51.5717,34.1217,34.47,100,100,5.77
196,Kholbon,RU,2022-12-10 04:26:32,51.8833,116.25,16.83,74,67,8.95
197,Pardi,IN,2022-12-10 04:26:33,20.5167,72.95,75.31,30,21,5.86
198,Pervomayskoye,RU,2022-12-10 04:26:33,43.919,46.7102,43.81,81,99,18.05
199,Aberdare,GB,2022-12-10 04:26:34,51.7144,-3.4492,38.28,87,36,3.33
200,Rongcheng,CN,2022-12-10 04:26:34,30.634,117.8517,53.94,69,90,5.99
201,Kutum,SD,2022-12-10 04:26:35,14.2,24.6667,54.57,25,61,7.74
202,Verkhoyansk,RU,2022-12-10 04:26:36,67.5447,133.385,-48.08,100,99,0.89
203,Torbay,CA,2022-12-10 04:25:51,47.6666,-52.7314,38.75,96,100,14.0
204,Nuuk,GL,2022-12-10 04:26:36,64.1835,-51.7216,31.98,72,97,12.24
205,Bac Lieu,VN,2022-12-10 04:26:37,9.285,105.7244,83.05,74,87,12.08
206,Najran,SA,2022-12-10 04:26:37,17.4924,44.1277,59.65,46,5,1.43
207,Kapit,MY,2022-12-10 04:26:38,2.0167,112.9333,82.11,85,94,0.2
208,Cidreira,BR,2022-12-10 04:26:39,-30.1811,-50.2056,71.02,94,12,16.51
209,Marrakesh,MA,2022-12-10 04:26:39,31.6315,-8.0083,51.87,93,40,3.44
210,Hamilton,US,2022-12-10 04:26:40,39.1834,-84.5333,46.72,92,100,5.75
211,Nuevo Progreso,MX,2022-12-10 04:26:41,23.1667,-97.95,68.47,79,0,4.32
212,Rawson,AR,2022-12-10 04:26:41,-43.3002,-65.1023,63.32,38,7,2.82
213,Pangani,TZ,2022-12-10 04:26:42,-5.4333,38.9667,74.98,89,10,4.7
214,Praya,CV,2022-12-10 04:26:42,14.9215,-23.5087,73.94,78,20,10.36
215,Saint-Augustin,CA,2022-12-10 04:26:43,51.226,-58.6502,24.48,81,100,20.65
216,Chapais,CA,2022-12-10 04:26:44,49.7834,-74.8492,-7.82,94,9,5.17
217,Kavieng,PG,2022-12-10 04:26:45,-2.5744,150.7967,83.66,72,56,5.17
218,Shingu,JP,2022-12-10 04:26:45,33.7333,135.9833,59.67,58,33,3.96
219,Algiers,DZ,2022-12-10 04:26:02,36.7525,3.042,62.42,63,40,12.66
220,Taoudenni,ML,2022-12-10 04:26:46,22.6783,-3.9836,72.75,18,19,5.01
221,Biak,ID,2022-12-10 04:26:47,-0.9131,122.8766,83.34,67,99,5.14
222,Port Elizabeth,ZA,2022-12-10 04:19:38,-33.918,25.5701,69.31,80,75,14.97
223,Sorland,NO,2022-12-10 04:26:48,67.667,12.6934,33.66,56,13,14.43
224,Inhambane,MZ,2022-12-10 04:26:48,-23.865,35.3833,73.38,88,75,5.75
225,Katsuura,JP,2022-12-10 04:26:49,35.1333,140.3,56.88,53,59,5.86
226,Samarai,PG,2022-12-10 04:26:50,-10.6167,150.6667,85.17,71,81,4.9
227,Mount Gambier,AU,2022-12-10 04:26:51,-37.8333,140.7667,78.17,32,0,2.42
228,Bambanglipuro,ID,2022-12-10 04:26:52,-7.95,110.2833,84.97,64,84,9.66
229,Belaya Gora,RU,2022-12-10 04:27:53,68.5333,146.4167,-36.18,98,98,6.46
230,Helena,US,2022-12-10 04:27:53,46.5927,-112.0361,22.19,63,0,5.75
231,Monywa,MM,2022-12-10 04:27:54,22.1167,95.1333,77.68,46,3,7.29
232,Olafsvik,IS,2022-12-10 04:27:54,64.8945,-23.7142,33.84,74,7,14.34
233,Nyaunglebin,MM,2022-12-10 04:27:55,17.95,96.7333,82.08,62,4,5.59
234,Egvekinot,RU,2022-12-10 04:27:55,66.3167,-179.1667,-5.89,98,100,3.87
235,Tasiilaq,GL,2022-12-10 04:19:41,65.6145,-37.6368,23.16,58,39,5.14
236,Ponta Delgada,PT,2022-12-10 04:27:56,37.7333,-25.6667,67.5,94,75,18.41
237,Maxixe,MZ,2022-12-10 04:27:56,-23.8597,35.3472,73.22,88,75,5.75
238,Biltine,TD,2022-12-10 04:27:57,14.5333,20.9167,66.79,15,1,13.2
239,Sembe,CG,2022-12-10 04:27:58,1.6481,14.5806,68.9,86,74,1.01
240,Axim,GH,2022-12-10 04:27:58,4.8699,-2.2405,78.04,84,0,5.19
241,Ahuimanu,US,2022-12-10 04:27:59,21.4447,-157.8378,76.71,67,75,20.71
242,Araguacu,BR,2022-12-10 04:27:59,-12.9306,-49.8264,71.29,96,100,6.69
243,Yumen,CN,2022-12-10 04:28:00,40.2833,97.2,16.3,55,84,14.99
244,Maumere,ID,2022-12-10 04:28:00,-8.6199,122.2111,85.78,64,100,1.74
245,Russell,US,2022-12-10 04:28:01,32.3502,-85.1999,65.97,96,44,3.69
246,Atar,MR,2022-12-10 04:28:01,20.5169,-13.0499,76.21,27,13,6.69
247,Hami,CN,2022-12-10 04:28:02,42.8,93.45,27.01,36,94,8.72
248,Kenai,US,2022-12-10 04:28:02,60.5544,-151.2583,10.15,96,0,4.61
249,Pampa,US,2022-12-10 04:28:03,35.5362,-100.9599,45.55,100,100,13.8
250,Saldanha,ZA,2022-12-10 04:28:04,-33.0117,17.9442,63.27,89,0,2.26
251,Sande,DE,2022-12-10 04:28:04,53.5049,8.0142,31.01,93,10,6.46
252,Qasigiannguit,GL,2022-12-10 04:28:05,68.8193,-51.1922,35.85,74,99,6.82
253,Maungatapere,NZ,2022-12-10 04:28:06,-35.75,174.2,66.96,98,92,5.23
254,Birjand,IR,2022-12-10 04:28:06,32.8663,59.2211,32.47,74,0,6.91
255,Sitka,US,2022-12-10 04:26:37,57.0531,-135.33,33.69,86,100,0.0
256,Tual,ID,2022-12-10 04:28:07,-5.6667,132.75,82.51,72,98,6.76
257,Mount Isa,AU,2022-12-10 04:28:07,-20.7333,139.5,103.77,9,0,13.8
258,Gornopravdinsk,RU,2022-12-10 04:28:08,60.05,69.9,-19.98,98,11,2.8
259,Shimoda,JP,2022-12-10 04:28:09,34.6667,138.95,59.36,59,37,6.06
260,Gizo,SB,2022-12-10 04:28:10,-8.103,156.8419,83.39,73,99,3.8
261,Cuamba,MZ,2022-12-10 04:28:10,-14.8031,36.5372,69.3,87,22,1.16
262,Ranghulu,CN,2022-12-10 04:28:11,46.65,124.8667,16.03,60,1,9.51
263,Tirano,IT,2022-12-10 04:28:11,46.2154,10.1679,44.6,98,100,1.28
264,Araouane,ML,2022-12-10 04:28:12,18.9048,-3.5265,69.73,14,0,8.19
265,Barra Do Garcas,BR,2022-12-10 04:28:13,-15.89,-52.2567,73.45,96,100,5.99
266,Port Shepstone,ZA,2022-12-10 04:28:13,-30.7414,30.455,72.99,86,8,9.53
267,Araceli,PH,2022-12-10 04:28:14,10.5529,119.9913,80.71,80,100,9.89
268,Sangar,RU,2022-12-10 04:28:14,63.9242,127.4739,-22.2,90,100,8.77
269,Clyde River,CA,2022-12-10 04:19:45,70.4692,-68.5914,-1.97,84,100,5.75
270,Znamenskoye,RU,2022-12-10 04:29:16,57.1281,73.8282,7.84,95,100,5.32
271,Campoverde,PE,2022-12-10 04:29:16,-8.4753,-74.8058,74.57,85,99,1.9
272,Jabinyanah,TN,2022-12-10 04:29:17,35.035,10.9081,69.6,56,100,11.34
273,Ahipara,NZ,2022-12-10 04:29:17,-35.1667,173.1667,68.0,91,74,7.9
274,Bartica,GY,2022-12-10 04:29:18,6.4,-58.6167,75.52,99,94,1.48
275,Lugovoy,KZ,2022-12-10 04:29:18,42.9472,72.7644,8.89,89,56,5.35
276,San Juan,AR,2022-12-10 04:29:19,-31.5375,-68.5364,85.73,29,6,21.5
277,Eschwege,DE,2022-12-10 04:29:20,51.1833,10.0667,33.66,96,99,3.6
278,Kirakira,SB,2022-12-10 04:29:20,-10.4544,161.9205,78.51,90,100,8.34
279,Souillac,MU,2022-12-10 04:29:21,-20.5167,57.5167,77.38,83,40,14.97
280,Forst,DE,2022-12-10 04:29:21,51.7333,14.6333,31.89,91,100,6.73
281,Lata,PT,2022-12-10 04:26:59,40.1629,-8.3327,54.07,91,100,4.47
282,Barcelona,ES,2022-12-10 04:27:52,41.3888,2.159,57.54,79,75,8.05
283,Mehamn,NO,2022-12-10 04:27:09,71.0357,27.8492,19.31,85,96,12.66
284,Byron Bay,AU,2022-12-10 04:29:23,-28.65,153.6167,74.95,73,84,7.61
285,Coquimbo,CL,2022-12-10 04:19:34,-29.9533,-71.3436,62.33,100,100,5.75
286,Bukan,IR,2022-12-10 04:29:24,36.521,46.2089,31.33,88,10,1.77
287,Ancud,CL,2022-12-10 04:29:25,-41.8697,-73.8203,53.89,92,55,5.01
288,Mugur-Aksy,RU,2022-12-10 04:29:25,50.35,90.5,2.98,88,100,4.34
289,Chokurdakh,RU,2022-12-10 04:26:59,70.6333,147.9167,-12.17,97,100,4.79
290,Athabasca,CA,2022-12-10 04:29:26,54.7169,-113.2854,5.41,91,5,5.21
291,Ilulissat,GL,2022-12-10 04:29:26,69.2167,-51.1,35.62,44,81,21.85
292,Guaymas,MX,2022-12-10 04:29:27,27.9333,-110.9,56.44,51,38,8.5
293,Broken Hill,AU,2022-12-10 04:29:28,-31.95,141.4333,85.24,18,28,5.64
