City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
190,Tuktoyaktuk,CA,2022-12-09 18:30:52,69.4541,-133.0374,-18.4,69,75,6.91,broken clouds
191,Doha,QA,2022-12-09 18:30:53,25.2867,51.5333,73.38,46,0,10.36,clear sky
192,Neiafu,TO,2022-12-09 18:30:53,-18.65,-173.9833,74.08,100,100,0.0,light rain
193,Masvingo,ZW,2022-12-09 18:30:54,-20.0637,30.8277,74.97,40,53,9.22,broken clouds
194,Okha,RU,2022-12-09 18:30:54,53.5739,142.9478,0.48,89,67,9.24,broken clouds
195,Along,IN,2022-12-09 18:30:55,28.1667,94.7667,53.28,80,0,1.77,clear sky
196,Mar Del Plata,AR,2022-12-09 18:30:53,-38.0023,-57.5575,82.42,49,0,18.99,clear sky
197,Kavieng,PG,2022-12-09 18:30:55,-2.5744,150.7967,81.7,76,100,8.19,overcast clouds
198,Sur,OM,2022-12-09 18:30:56,22.5667,59.5289,76.91,62,0,9.37,clear sky
199,Kingsport,US,2022-12-09 18:30:56,36.5484,-82.5618,63.75,88,75,1.01,broken clouds
200,Darien,US,2022-12-09 18:29:36,41.752,-87.974,36.66,94,100,14.97,mist
201,Byron Bay,AU,2022-12-09 18:29:31,-28.65,153.6167,63.95,84,100,3.51,light rain
202,Krasnyye Chetai,RU,2022-12-09 18:30:57,55.6887,46.1386,22.3,95,100,14.2,light snow
203,Luganville,VU,2022-12-09 18:30:57,-15.5333,167.1667,80.83,82,98,3.53,overcast clouds
204,Pangnirtung,CA,2022-12-09 18:30:58,66.1451,-65.7125,17.6,86,100,0.0,light snow
205,Evanston,US,2022-12-09 18:30:14,42.0411,-87.6901,36.63,93,100,11.5,moderate rain
206,Rawson,AR,2022-12-09 18:30:59,-43.3002,-65.1023,77.02,21,27,21.0,scattered clouds
207,Cherskiy,RU,2022-12-09 18:30:59,68.75,161.3,-22.36,98,100,4.99,overcast clouds
208,Khatanga,RU,2022-12-09 18:30:59,71.9667,102.5,-28.21,100,100,3.06,overcast clouds
209,Tevaitoa,PF,2022-12-09 18:31:00,-16.7833,-151.5,79.88,74,76,8.7,broken clouds
210,San Patricio,US,2022-12-09 18:31:00,28.017,-97.5169,81.07,59,48,12.33,scattered clouds
211,Baoro,CF,2022-12-09 18:31:01,5.6667,15.9667,74.46,30,3,4.7,clear sky
212,Muzhi,RU,2022-12-09 18:31:01,65.3667,64.6667,-14.21,92,5,4.23,clear sky
213,Thinadhoo,MV,2022-12-09 18:31:02,0.5333,72.9333,82.02,78,100,18.03,overcast clouds
214,Faanui,PF,2022-12-09 18:31:02,-16.4833,-151.75,80.06,73,41,9.24,scattered clouds
215,Natal,BR,2022-12-09 18:31:03,-5.795,-35.2094,86.65,61,40,14.97,scattered clouds
216,Tilichiki,RU,2022-12-09 18:31:03,60.4667,166.1,5.32,88,100,9.19,overcast clouds
217,Mahajanga,MG,2022-12-09 18:31:04,-15.7167,46.3167,82.42,65,40,4.61,scattered clouds
218,Zitiste,RS,2022-12-09 18:31:04,45.485,20.5497,52.11,80,100,17.36,overcast clouds
219,Krasnoye,UA,2022-12-09 18:31:05,49.9145,24.6134,36.07,95,100,7.45,overcast clouds
220,Grand Gaube,MU,2022-12-09 18:31:05,-20.0064,57.6608,77.4,75,72,5.01,moderate rain
221,Saint Andrews,US,2022-12-09 18:28:13,34.0454,-81.1293,54.66,79,100,8.05,overcast clouds
222,Dingle,PH,2022-12-09 18:31:06,10.9995,122.6711,74.8,94,100,0.96,overcast clouds
223,Megion,RU,2022-12-09 18:31:06,61.0296,76.1136,-19.98,96,13,9.01,few clouds
224,Mahibadhoo,MV,2022-12-09 18:31:07,3.7833,72.9667,81.32,78,100,17.09,moderate rain
225,Muyezerskiy,RU,2022-12-09 18:31:08,63.9333,31.65,19.71,96,100,7.14,overcast clouds
226,Sorland,NO,2022-12-09 18:31:08,67.667,12.6934,35.46,58,5,20.4,clear sky
227,Sitka,US,2022-12-09 18:31:09,57.0531,-135.33,35.49,80,100,14.97,snow
228,Turtas,RU,2022-12-09 18:31:09,58.9417,69.1325,6.31,96,100,2.46,light snow
229,Mitu,CO,2022-12-09 18:31:10,1.1983,-70.1733,72.59,98,100,1.5,overcast clouds
230,Praya,CV,2022-12-09 18:31:10,14.9215,-23.5087,81.14,57,20,13.8,few clouds
231,Orcopampa,PE,2022-12-09 18:31:11,-15.2661,-72.3417,56.35,54,87,2.84,overcast clouds
232,Bilma,NE,2022-12-09 18:31:11,18.6853,12.9164,71.1,16,0,5.79,clear sky
233,Ahipara,NZ,2022-12-09 18:32:12,-35.1667,173.1667,65.16,89,100,6.82,light rain
234,Santa Lucia,ES,2022-12-09 18:27:23,27.9117,-15.5407,63.72,88,20,3.44,few clouds
235,Hirara,JP,2022-12-09 18:32:12,24.8,125.2833,73.69,77,96,29.89,overcast clouds
236,Ust-Kulom,RU,2022-12-09 18:32:13,61.6864,53.6902,8.19,98,100,0.4,overcast clouds
237,Kabompo,ZM,2022-12-09 18:32:13,-13.5927,24.2008,62.31,96,27,2.01,scattered clouds
238,College,US,2022-12-09 18:32:14,64.8569,-147.8028,13.95,81,100,9.22,light snow
239,Ostrovnoy,RU,2022-12-09 18:32:14,68.0531,39.5131,20.32,84,100,23.82,overcast clouds
240,Vestmanna,FO,2022-12-09 18:32:15,62.1564,-7.1664,34.72,87,75,12.66,light rain
241,Porto Santo,PT,2022-12-09 18:32:15,33.072,-16.3415,66.58,72,40,16.11,scattered clouds
242,Poum,NC,2022-12-09 18:32:16,-20.2333,164.0167,80.38,79,0,9.17,clear sky
243,The Valley,AI,2022-12-09 18:32:16,18.217,-63.0578,82.81,57,20,3.44,few clouds
244,Namibe,AO,2022-12-09 18:32:16,-15.1961,12.1522,70.72,65,98,8.12,overcast clouds
245,Gorontalo,ID,2022-12-09 18:32:17,0.5412,123.0595,74.43,93,86,2.59,overcast clouds
246,Yahotyn,UA,2022-12-09 18:32:17,50.2798,31.7625,33.58,100,100,3.0,overcast clouds
247,Flinders,AU,2022-12-09 18:32:18,-34.5833,150.8552,53.38,78,92,6.31,overcast clouds
248,Salina Cruz,MX,2022-12-09 18:32:18,16.1667,-95.2,87.66,42,0,24.23,clear sky
249,Hithadhoo,MV,2022-12-09 18:32:19,-0.6,73.0833,82.04,76,100,15.73,overcast clouds
250,Ploemeur,FR,2022-12-09 18:32:19,47.7333,-3.4333,39.94,78,0,4.61,clear sky
251,Beaupre,CA,2022-12-09 18:32:20,47.0443,-70.8953,33.53,60,6,16.11,clear sky
252,Zorritos,PE,2022-12-09 18:32:20,-3.6805,-80.6782,80.89,70,99,10.09,overcast clouds
253,Mucurapo,TT,2022-12-09 18:32:22,10.6667,-61.5333,84.25,67,100,10.25,overcast clouds
254,Tiznit,MA,2022-12-09 18:32:22,29.5833,-9.5,62.38,79,53,5.41,light rain
255,Emerald,AU,2022-12-09 18:32:23,-23.5333,148.1667,73.35,88,2,9.6,clear sky
256,Bambous Virieux,MU,2022-12-09 18:32:23,-20.3428,57.7575,77.25,78,40,9.22,light rain
257,Itaituba,BR,2022-12-09 18:32:24,-4.2761,-55.9836,93.36,55,40,9.22,scattered clouds
258,Galle,LK,2022-12-09 18:32:24,6.0367,80.217,78.51,85,100,11.56,light rain
259,Lahij,YE,2022-12-09 18:32:24,13.1667,44.5833,70.83,78,35,4.97,scattered clouds
260,Kizema,RU,2022-12-09 18:32:25,61.113,44.8302,14.49,97,100,3.47,overcast clouds
