City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
568,Saint-Joseph,RE,75.58,light rain,-21.3667,55.6167,No hotel found
573,Gainesville,US,78.64,clear sky,29.6516,-82.3248,Hampton Inn & Suites Gainesville-Downtown
578,Santa Catalina,PH,76.98,overcast clouds,9.3337,122.8637,No hotel found
579,Vao,NC,78.15,clear sky,-22.6667,167.4833,Nataiwatch
582,Matara,LK,75.96,moderate rain,5.9485,80.5353,Villa Palm Breeze
585,Moroni,KM,79.72,broken clouds,-11.7022,43.2551,Ville de Moroni
586,Tawau,MY,75.33,broken clouds,4.2498,117.8871,Eden boutique
587,Guasdualito,VE,87.76,scattered clouds,7.2424,-70.7324,No hotel found
591,Miandrivazo,MG,80.56,moderate rain,-19.5167,45.4667,Baobab
593,Kokopo,PG,77.02,overcast clouds,-4.352,152.2633,Hotel Kokopo
